Sample	Gene1	Gene2	Gene3	Gene4	Gene5	Gene6	Gene7	Gene8	Gene9	Gene10
Sample1	9.11287534144001	8.7734456236861	16.0299930010013	17.7965921435541	35.5889490686345	39.607723004788	21.5573743941534	39.1389270176291	43.0692154273366	51.8174707143491
Sample2	3.30590548581173	2.87476626408	13.1947135072567	21.1113833891937	26.8054500627242	38.3580086973418	21.7660783270688	31.1232098209357	33.2103937743426	42.9906923558024
Sample3	6.08938523401202	9.31233057696151	18.7908161784976	23.490942364193	25.6190816041171	21.9743308252812	36.1223214757731	35.5531599511526	46.7952757071412	54.4256807915629
Sample4	6.89858781488312	14.8586987966904	11.3664758646171	28.3984209637561	24.1537242372264	44.787855213382	26.0302477860437	39.7055512091176	41.0098774280926	53.5358520766342
Sample5	6.212804969423	17.5807738450599	8.15859477790353	15.6362476431532	16.6396977338763	24.6658127299375	34.9835964712576	35.8613115094208	51.4901490278607	46.6488875198891
Sample6	4.68162645172555	8.2781234735752	17.1640901294436	27.8152557922649	29.2839782862827	30.8441104996486	31.1456700671677	51.133860233682	60.7566412050409	33.9651601412822
Sample7	9.53456599231682	8.97092246892428	10.9430341190666	22.0150887185124	23.4800210797744	26.6219529450492	29.4769555419545	35.1900715834602	34.0803823777956	58.4089858212804
Sample8	4.71602288476071	2.94734765922088	22.2205063086063	26.2310365921857	23.7207030556765	29.0211986243602	16.777899391228	35.6683096739927	50.0011532733831	56.6503594672884
Sample9	11.0552711416311	11.8403894193251	12.8427689869333	25.5243714097439	31.5334242999981	31.505544276012	23.9772684467601	46.968625765521	45.9338786454634	39.964320886383
Sample10	4.81185770284274	7.44002049615952	18.278239417011	24.3252689772012	30.7524117735577	30.953287663976	36.6156479700614	29.4363158682909	54.85122140491	30.8649420559251
Sample11	8.91460896267046	11.8218004929649	16.6096263260197	13.7412863685929	34.7448146315399	29.7992595930608	40.1085853498118	39.5930152484879	42.4724404715911	52.4595029670516
Sample12	11.8599361781033	12.8193493489153	11.0808052955981	19.4588816803358	21.6667825386173	30.8645818235363	30.5641038180187	24.4845517765241	54.2028097530667	45.8589442643253
Sample13	0.833417896662982	14.1404140878797	22.8786375989599	23.7411089719973	29.5524399250841	26.1165181132267	35.0005659565882	51.6716954923568	25.8043855252964	53.0313404403735
Sample14	4.16363369954789	7.56429449837116	18.2144965285866	14.2788598533659	34.73777319473	25.9662629544968	45.1060067904197	37.2635429862592	63.5840481344471	34.4719704141854
Sample15	4.60003599081903	12.0198204931919	15.448803232998	16.7430271125569	17.2244778438647	16.7112073606815	47.9587016867857	35.3215467532775	54.5125577637044	38.4899546674356
Sample16	6.90785119421022	3.13196528370663	16.3827537364573	23.4859789860901	18.9744518918551	26.9413301850095	25.1259760843476	27.6174767201379	43.3414641222568	63.0292982441588
Sample17	4.14724123575178	6.86216396648202	18.3964440802764	24.6090724270075	17.0778292340236	25.8987979369776	33.9441239577484	39.9223796622267	29.0609215684692	54.8452988565886
Sample18	-2.96936626271433	6.59636962329393	15.4491644328954	22.782605531241	14.7855020034832	51.6151280027584	45.8134856082773	31.9971782204834	52.0730957004618	57.0378504406316
Sample19	-2.32140078572656	0.343169400213473	0.0345495842353252	14.6853422155419	25.5598778726881	19.1030701504823	30.7724337749033	34.6650767004956	50.3151325019624	71.7827413538474
Sample20	8.96034003719058	10.144490427569	16.4244147676533	13.4013146081129	29.5724303775443	31.0980497484689	34.527774635549	52.8767524558459	44.9300881093647	51.5458571432286
