gene01	gene02	gene03	gene04	gene05	gene06	gene07	gene08	gene09	gene10	gene11	gene12	gene13	gene14	gene15
570	411	0	224	424	13	105	47900	3	10120477	209	87793	0	1427244	27
524	438	1	244	443	13	107	48068	3	10115301	207	87587	0	1429141	25
607	429	1	232	473	11	100	47611	2	10120671	202	87777	2	1426594	23
554	373	1	235	438	13	96	47660	1	10116683	254	87598	0	1426647	23
545	446	3	217	465	16	87	48033	2	10115940	210	87988	0	1428205	31
578	397	0	235	454	16	94	47499	4	10115286	210	88068	0	1427269	23
563	435	3	213	472	15	95	47784	2	10119423	219	87956	0	1428205	32
593	420	3	185	430	15	101	47454	3	10111769	246	88024	1	1427603	23
524	411	1	231	480	12	117	47744	4	10116009	221	87681	1	1426568	24
597	419	2	183	492	14	105	48012	1	10109931	223	87323	0	1426381	25
559	420	3	215	483	11	109	47851	2	10116569	219	87923	1	1426404	25
535	411	3	225	445	13	111	47683	0	10120641	226	87965	1	1425147	35
564	401	3	206	469	13	109	47649	4	10113427	226	87899	0	1426815	25
543	431	2	212	480	12	101	47873	3	10126545	195	87920	0	1426271	31
615	398	1	235	442	10	100	47784	5	10114349	245	87499	0	1428882	30
558	416	2	220	462	8	103	47557	2	10112733	241	87514	0	1427972	30
563	451	2	207	481	11	108	47612	4	10121163	210	87830	0	1425964	24
586	386	1	194	454	10	95	47283	2	10116158	219	87986	0	1427725	26
541	388	3	198	467	13	108	47858	3	10121404	227	88064	1	1428504	23
527	411	1	213	495	15	126	47843	5	10117602	213	87074	1	1428254	27
565	390	4	215	485	18	86	47612	4	10120037	227	87593	1	1428761	33
572	411	4	228	437	12	90	47947	1	10112375	227	87492	0	1428698	39
557	419	5	237	479	14	116	48010	2	10120391	217	87535	0	1429056	19
562	431	1	216	454	10	96	47854	4	10110953	240	88326	1	1428856	26
577	407	0	206	440	12	121	48152	4	10115653	234	87599	0	1427029	22
579	450	2	187	448	10	94	47763	4	10120039	250	87871	0	1427798	35
574	405	2	199	474	22	108	47403	3	10119854	227	87840	0	1430033	28
577	386	2	216	460	9	100	47879	3	10116381	242	87673	0	1427867	31
574	394	1	186	443	7	97	47860	3	10116293	228	88023	0	1427860	32
564	443	1	245	480	12	115	47641	4	10120047	235	87221	0	1426743	43
586	428	3	214	460	9	96	48052	5	10119097	200	87879	1	1426532	34
577	406	2	217	470	10	95	47443	1	10114404	240	87488	0	1426544	37
565	430	2	232	460	17	111	47588	1	10113921	245	87752	0	1427021	26
567	415	1	204	483	15	108	47548	1	10117276	276	87879	1	1426883	28
543	417	5	216	484	16	109	47705	3	10113609	222	87810	0	1428655	23
590	399	4	225	454	8	113	47825	6	10114437	210	87546	1	1428032	27
564	430	2	217	494	15	112	47324	3	10113551	216	87446	1	1429254	30
584	393	2	202	483	15	98	47511	3	10121058	248	87849	0	1429251	22
545	380	2	202	463	13	101	47608	0	10109857	232	87600	1	1427595	30
556	419	4	216	458	10	110	47873	2	10119177	240	87695	0	1425900	31
585	420	2	214	443	13	107	47818	6	10118860	225	87164	0	1431353	34
586	410	0	192	461	15	107	47650	2	10114762	215	87621	0	1427804	38
574	390	0	232	449	10	98	47537	5	10115046	244	87631	1	1428505	38
594	391	0	216	488	17	105	46861	3	10117350	233	88322	0	1428648	31
563	426	0	219	498	7	113	47970	6	10115629	217	88280	1	1427794	36
590	422	2	227	457	16	107	47186	4	10118200	209	87564	1	1427492	22
544	426	2	235	476	20	108	48101	5	10118536	231	87843	0	1426207	21
563	443	0	195	447	17	105	47389	3	10116988	220	87963	3	1427550	22
549	386	1	240	452	9	121	47494	0	10121868	218	87146	0	1426647	25
585	450	5	214	441	15	112	47602	8	10117087	227	87633	0	1427374	29
590	418	2	222	500	10	99	47759	1	10117932	223	88016	0	1427253	19
539	391	1	209	479	14	111	47632	2	10114615	216	87529	0	1428541	27
602	423	3	198	485	15	109	47477	1	10121434	229	88055	1	1426286	36
594	430	3	203	414	16	113	47567	4	10123506	217	87652	0	1427787	35
548	425	1	229	475	11	84	48236	3	10118881	223	87710	0	1428052	31
571	391	2	186	462	11	89	47728	6	10116211	227	87842	0	1427713	33
555	417	1	211	460	10	106	47690	1	10119080	232	87737	0	1430097	24
548	390	4	233	470	13	103	47801	1	10119596	228	88110	0	1426571	29
568	396	2	209	435	12	117	47897	5	10121236	229	87962	0	1428588	31
548	409	2	208	460	6	96	47761	4	10114147	240	87965	1	1426609	20
613	405	2	226	483	12	126	47664	4	10122673	223	87838	0	1425012	28
597	412	2	213	483	13	105	47798	1	10119346	226	87914	1	1426349	23
601	440	1	211	444	7	104	47671	4	10121551	215	87828	2	1427957	37
596	403	3	216	488	13	110	47648	3	10118942	253	86995	1	1427853	31
574	385	4	236	464	9	106	47824	4	10114235	231	88185	1	1427421	37
572	451	3	208	432	16	114	47217	1	10116645	218	87842	0	1428563	44
594	427	3	219	496	7	94	48171	3	10117969	232	87477	1	1430262	31
606	401	1	223	454	11	93	47763	2	10120432	217	87951	0	1428824	27
560	423	1	213	397	7	117	47800	6	10118600	241	87655	1	1428790	28
592	383	0	205	475	14	113	47702	3	10115818	202	87980	1	1428371	35
610	431	5	224	482	12	92	47593	1	10119732	228	87966	0	1427103	34
597	428	0	206	476	16	102	47665	3	10108154	241	87055	0	1427057	31
557	377	3	206	486	15	98	47633	5	10112797	237	87926	1	1427227	27
556	379	3	193	463	8	114	48230	5	10122435	211	87658	0	1427297	24
557	412	3	215	483	10	94	47717	3	10118291	218	88131	0	1428856	23
569	421	0	236	478	15	101	47591	1	10120171	200	87617	1	1426427	32
539	427	3	208	461	5	105	47688	1	10117724	226	87490	0	1427382	23
558	385	0	224	452	5	108	48049	8	10115357	233	87206	1	1429721	23
585	409	3	228	460	19	106	47603	0	10117522	245	88162	0	1428237	27
529	421	1	220	475	9	89	48113	2	10118722	202	88052	0	1427299	37
584	400	1	213	479	14	105	47394	4	10116620	224	87708	0	1426077	31
570	424	2	212	449	14	102	47637	1	10114368	209	87353	0	1428258	28
588	415	0	224	436	10	88	47427	2	10117978	228	88076	0	1427650	23
587	421	2	216	468	16	99	47626	2	10111602	254	87775	0	1428498	22
584	362	0	221	482	14	100	47727	6	10115332	219	87780	1	1427431	31
544	431	1	212	452	13	117	47726	3	10119180	212	87947	1	1427697	36
512	404	1	206	470	8	98	47644	3	10114034	238	88099	0	1428615	32
568	399	1	214	469	8	102	47841	4	10119733	232	88006	0	1426751	31
574	414	1	207	451	19	119	47973	3	10112825	225	87837	0	1429049	21
569	410	0	218	450	15	121	47569	4	10112653	243	87934	0	1426838	25
569	401	3	202	470	15	113	47488	1	10117166	227	87436	1	1426324	27
575	398	3	210	447	11	107	47803	3	10115514	255	87606	2	1427452	31
591	417	1	209	422	10	125	47757	3	10112307	247	88003	1	1429803	26
549	405	2	205	491	14	96	48019	3	10116769	234	87646	0	1428072	32
581	386	6	203	505	12	95	47448	6	10116460	231	87350	1	1426884	32
527	396	2	219	446	15	109	47336	4	10114680	216	87402	0	1428201	27
577	385	3	221	480	15	105	47328	3	10116500	219	87751	0	1428452	19
616	398	2	217	459	22	123	47327	6	10116370	223	87787	0	1428155	25
555	438	4	234	486	8	90	47970	1	10118555	217	87993	0	1428967	28
598	404	2	208	484	17	95	48292	1	10121095	238	88169	1	1429008	20
555	411	0	223	450	13	101	47533	4	10115922	261	88038	1	1427651	34
555	405	1	208	452	6	98	47863	1	10117200	228	87738	1	1426682	37
576	407	2	218	420	11	98	47795	3	10115727	225	86990	1	1427654	30
548	424	3	197	467	15	95	47509	0	10115278	221	87832	1	1429576	16
576	391	0	210	461	13	109	47896	0	10117338	230	87928	1	1427756	32
582	436	2	193	487	7	119	48011	3	10118496	210	88269	0	1426666	34
577	408	2	203	486	13	108	47397	3	10116680	232	87838	0	1429379	37
549	420	3	223	473	15	104	47810	1	10118573	234	87375	0	1425930	25
582	418	1	217	461	15	105	47676	4	10117116	234	87573	0	1430361	22
570	416	2	191	482	19	97	47920	3	10118503	237	87775	1	1428450	21
549	406	2	203	477	11	102	47979	4	10127781	264	87745	0	1426363	34
598	408	0	194	449	12	106	47741	3	10112865	226	87717	0	1426710	31
574	412	2	235	470	11	118	47758	3	10116638	218	87727	1	1430259	32
617	463	1	199	475	20	110	47759	1	10113674	238	87535	1	1426793	36
562	416	2	194	452	7	106	47584	4	10119068	244	87605	0	1427857	18
550	436	1	191	457	8	101	47306	2	10114087	239	87644	1	1429095	34
566	435	3	212	441	15	109	48092	4	10115333	245	88108	0	1429741	35
578	383	2	183	464	10	112	47570	2	10122455	223	87697	0	1429376	36
549	431	2	214	484	8	110	47380	2	10117559	217	87444	2	1429250	33
569	417	1	196	479	14	93	47236	1	10118364	208	87459	2	1428435	24
581	425	3	235	464	14	99	47549	4	10119484	226	87608	0	1426808	29
568	419	2	211	452	16	110	47675	4	10118443	219	87697	0	1428748	25
555	451	1	219	494	12	111	47807	1	10117756	221	87756	0	1426580	24
598	393	1	223	501	13	101	47238	2	10122718	251	87773	0	1428624	25
546	414	0	234	515	16	92	47818	4	10119702	221	88184	1	1426050	21
583	418	1	244	448	15	97	47980	5	10120146	237	87352	1	1426725	30
578	413	3	224	495	14	101	48215	3	10109665	224	87800	0	1428481	27
583	458	5	197	467	9	106	47723	4	10117297	199	87522	0	1426466	37
550	435	2	220	452	13	113	47909	1	10117807	235	87530	0	1428045	18
590	428	3	207	446	13	114	47937	0	10117117	219	87868	1	1426925	28
588	396	2	203	447	11	112	47682	2	10117531	219	88522	0	1427344	35
568	403	3	226	438	4	118	47801	1	10113832	234	87498	0	1427423	30
596	416	1	219	425	16	86	47681	1	10116643	253	87896	0	1426246	32
574	448	4	219	436	14	123	47676	8	10119372	229	87346	0	1429065	27
569	421	0	212	471	19	110	48114	4	10117807	241	87820	0	1428570	27
601	386	1	198	463	11	101	47738	2	10114896	206	87551	0	1427885	35
604	415	2	227	445	8	107	47815	5	10121438	222	87748	0	1426401	34
595	416	2	193	472	8	88	47292	3	10116224	197	88090	1	1428330	27
563	406	1	191	479	12	97	47660	1	10109632	223	87948	1	1427295	25
547	376	1	200	460	15	119	47868	6	10112022	216	87258	0	1427115	25
543	394	1	213	452	18	106	47596	6	10113173	218	88054	1	1427544	35
561	418	2	201	490	15	97	47953	4	10115095	216	87977	1	1427818	34
606	427	0	193	441	12	96	47974	2	10112611	224	87884	1	1427536	24
592	400	2	195	411	11	119	47984	2	10115911	220	87779	3	1428898	24
549	389	1	217	490	12	92	47580	2	10114927	219	87969	0	1427446	39
582	419	0	208	448	9	104	47766	0	10117564	230	87576	0	1426927	28
578	400	1	205	472	8	117	47852	0	10119885	249	88134	0	1425306	37
570	414	2	196	446	13	119	47114	4	10119504	198	88652	1	1427841	26
572	427	0	240	486	15	99	47470	4	10124036	233	87567	0	1427823	35
588	400	2	206	467	12	102	48006	1	10118291	234	88426	1	1428413	32
522	402	3	225	488	22	106	47803	2	10109208	218	88103	0	1427965	29
538	394	1	211	474	13	120	47828	3	10119446	217	87662	0	1427163	30
587	404	4	205	466	12	114	47524	7	10121338	211	87674	0	1426102	25
574	451	1	211	430	12	107	47835	1	10116912	219	87160	1	1428464	34
563	407	2	215	474	16	105	47698	1	10117489	240	88118	0	1429411	33
568	406	4	203	514	9	110	47439	3	10115424	248	87644	0	1427570	29
525	446	1	224	465	16	100	47644	3	10113888	209	87611	1	1430000	32
576	374	6	202	490	13	89	47473	4	10119098	239	87968	1	1429566	23
599	402	3	191	490	14	112	47916	6	10119396	232	87455	0	1430490	43
554	397	2	202	467	14	106	47893	2	10121479	227	87800	2	1427725	22
587	433	4	212	460	10	124	47688	4	10114351	243	87490	0	1428323	23
610	424	3	216	455	8	108	47852	2	10115601	223	87977	1	1426658	30
601	424	4	209	432	9	89	47578	3	10125999	213	87681	0	1427844	31
590	402	1	211	451	19	104	47543	0	10111451	224	87744	1	1426024	37
582	395	0	217	465	9	112	47742	7	10113103	253	87591	0	1428024	19
592	404	2	194	422	12	85	47736	3	10114989	246	87881	0	1427357	21
561	425	1	216	476	15	102	47803	4	10122899	207	88039	1	1426560	29
611	413	2	201	458	16	120	47733	5	10116328	213	88075	0	1429323	31
546	385	1	201	448	12	109	47199	5	10119135	222	87958	0	1425600	26
537	415	4	196	447	19	106	47814	6	10117433	229	87303	1	1427726	24
529	413	3	210	455	14	115	47644	1	10123299	219	88046	1	1427197	32
577	385	2	197	470	12	104	47656	4	10110872	238	88064	0	1426742	33
580	412	1	199	444	11	95	48022	3	10117637	246	87764	0	1428522	24
562	379	2	219	457	10	110	47603	2	10120860	223	88247	0	1428779	35
588	418	2	213	467	13	100	47387	7	10113734	239	88024	0	1428131	19
567	388	1	205	467	18	121	47593	3	10117427	226	87941	0	1426765	29
587	439	2	194	444	10	108	47218	3	10108224	224	87531	0	1426695	23
570	412	2	225	491	17	114	47824	1	10110698	202	87804	0	1428955	31
650	411	1	205	481	11	91	47861	3	10113799	202	87980	2	1428479	27
567	395	0	210	458	10	93	47639	6	10114554	242	87565	0	1427052	32
571	402	2	198	488	9	101	47497	6	10112560	211	87722	0	1427000	26
596	407	0	217	471	10	111	47991	3	10116988	213	87465	1	1426910	25
594	389	0	218	488	14	96	47762	2	10111001	221	87705	0	1429125	29
586	443	3	197	463	10	86	47623	4	10113359	250	87622	0	1427091	24
557	433	3	200	455	15	99	47299	1	10121748	219	88010	1	1428057	31
585	412	2	216	440	12	104	47721	2	10112201	224	87726	2	1429800	33
563	404	3	214	471	15	121	47938	2	10112007	243	87302	0	1426956	26
566	427	1	203	440	13	88	47916	3	10120944	232	87804	1	1426686	30
554	448	0	206	480	9	101	47772	5	10114582	235	87539	1	1427932	24
541	408	3	220	440	10	96	47816	1	10118506	228	87668	0	1426471	28
548	422	0	225	459	9	105	47878	3	10108884	224	87926	0	1426455	34
584	409	1	220	460	17	111	48150	5	10122639	233	87849	0	1426460	35
527	392	0	217	439	7	107	47629	7	10121991	235	87861	0	1427249	29
563	471	0	232	411	20	98	47109	5	10114322	229	87108	2	1426250	27
597	422	2	206	457	13	103	47309	2	10113293	240	87761	2	1426977	25
605	388	4	202	480	16	104	47576	4	10118463	234	87864	1	1426439	19
572	423	1	220	474	12	88	47981	4	10122181	229	88380	1	1428826	30
583	402	4	231	454	13	79	47812	5	10125964	205	88067	0	1428020	32
542	390	4	202	431	21	86	47761	3	10119586	241	87781	0	1426709	28
574	435	2	208	428	19	99	47736	4	10118182	236	87311	0	1427977	32
577	433	0	183	453	12	102	48110	4	10113562	249	87914	0	1428823	27
580	433	2	205	480	3	103	47739	3	10118073	229	87288	3	1426757	21
568	432	1	224	495	9	103	48023	3	10121220	239	87525	0	1427185	28
568	415	2	190	435	7	103	47396	3	10116009	264	87753	0	1429385	26
568	413	2	242	482	11	103	47772	5	10119874	229	88010	1	1425575	38
573	408	5	230	485	20	106	47803	4	10118139	226	88016	1	1426698	28
590	379	1	227	510	12	109	47892	4	10116690	239	87347	0	1427053	32
583	423	1	207	471	14	104	47611	6	10120985	225	87996	1	1429073	24
575	436	1	181	469	14	110	47446	2	10117397	239	88070	2	1427455	39
571	402	3	209	461	10	99	47709	4	10118924	203	87802	0	1426833	34
633	437	2	240	450	15	121	48025	1	10118248	226	87647	0	1427372	36
574	451	3	196	447	12	115	47697	4	10113111	229	87810	0	1425896	32
575	401	1	209	496	8	93	47494	2	10119527	238	87881	2	1428227	35
587	416	4	211	496	10	116	47929	2	10125992	228	87900	0	1426218	35
563	389	1	230	478	10	99	47735	4	10119876	226	87944	0	1427906	26
597	394	2	185	436	16	102	47510	5	10115211	233	87282	0	1429239	31
552	378	2	202	432	11	96	47851	3	10121708	215	87689	1	1427422	35
598	400	2	170	488	14	100	47880	3	10118420	202	88328	0	1427129	32
570	416	2	227	477	15	101	47510	6	10111224	251	87731	2	1427558	37
563	414	1	230	470	12	102	47863	3	10123014	248	87698	1	1428279	21
571	431	1	218	488	11	95	47811	3	10116829	222	87330	0	1427551	28
575	431	0	187	455	23	110	47509	1	10117565	214	87499	0	1428096	20
558	374	2	225	465	15	99	47788	4	10122479	209	87528	0	1427322	21
570	419	2	197	415	7	86	47584	2	10119055	201	87837	0	1428271	26
568	428	4	188	496	17	98	47924	3	10120614	253	87785	1	1429768	25
574	398	2	199	484	9	118	47717	4	10117722	243	87714	0	1426954	41
563	413	0	203	470	14	114	47739	6	10120244	209	88141	0	1428818	29
577	395	2	216	471	14	119	47744	3	10119761	219	87662	0	1428585	35
627	438	2	217	460	7	112	47890	1	10121284	220	87822	0	1428615	35
580	404	2	239	464	17	123	47485	3	10115335	243	87622	1	1429657	26
583	391	3	225	492	12	92	47329	6	10118160	201	87707	0	1429213	28
588	420	0	219	504	15	102	47151	7	10123270	230	87942	0	1428120	30
570	402	3	199	491	16	113	47428	3	10119979	216	87297	0	1428080	26
586	393	0	216	449	14	100	47835	2	10110766	250	87961	0	1428506	27
590	415	2	212	431	15	114	47947	5	10121373	233	87807	0	1425827	27
562	406	3	205	473	15	124	47865	7	10115279	231	88132	0	1425466	28
575	414	3	214	473	8	88	47623	2	10123894	206	87207	3	1427880	26
605	413	4	194	449	12	100	47520	6	10124005	222	87842	0	1427233	36
575	435	2	202	485	11	105	47506	3	10122972	258	88160	0	1427523	28
593	405	2	180	445	6	122	47499	4	10116349	198	88043	2	1427233	32
533	407	3	200	452	8	89	47640	2	10123430	224	87837	2	1428406	23
590	438	2	192	446	14	107	47781	4	10119881	226	87829	1	1427672	35
561	428	3	211	487	8	115	47406	1	10118068	220	87661	1	1427021	35
608	412	1	199	457	11	104	47778	4	10122199	256	87824	0	1428837	33
542	418	4	209	451	12	97	48015	3	10120920	236	87343	1	1429506	26
582	404	1	198	435	7	104	47345	3	10113987	237	87813	0	1427983	29
600	417	1	203	447	14	121	47895	3	10118089	209	87548	2	1427650	28
556	415	2	226	452	11	96	47750	6	10112246	223	87458	0	1428452	27
596	462	1	257	501	8	125	47899	4	10115424	212	87418	0	1427414	27
541	389	1	182	428	9	124	47116	1	10127097	232	87793	0	1428013	26
591	393	4	207	481	8	108	47353	2	10121375	238	87851	0	1426477	46
568	395	0	207	408	11	103	47760	3	10120598	233	87487	0	1428122	36
571	456	2	211	440	12	103	47819	3	10118053	251	87976	0	1427591	21
571	399	1	205	468	14	118	47591	2	10120723	223	88077	0	1427603	28
571	415	2	238	471	15	103	47732	3	10119067	231	87430	0	1426221	34
566	438	0	240	477	15	107	47510	1	10118986	189	88207	1	1427688	22
565	458	3	205	446	22	114	47734	3	10115808	220	87663	1	1427072	29
536	409	0	232	467	8	108	47325	2	10118106	217	87820	0	1427037	34
569	427	3	219	478	9	102	47820	4	10120460	236	87863	1	1426472	24
565	418	2	203	472	15	103	47456	2	10119153	203	88042	0	1426868	30
543	403	1	224	472	18	113	47839	1	10113200	225	87848	0	1428177	34
545	381	4	182	454	11	128	47450	2	10114658	219	87856	0	1426266	25
554	389	1	199	427	9	118	47451	5	10115912	202	87556	1	1425294	32
570	397	1	238	454	16	110	48017	5	10116680	242	87909	0	1428225	30
565	405	2	209	477	9	95	47541	2	10117324	235	87749	1	1428818	29
576	451	1	197	413	9	104	47824	6	10116692	232	87857	0	1426484	41
557	443	2	195	484	16	109	47950	2	10121098	218	87971	0	1426657	27
589	415	0	240	463	12	117	47511	2	10114459	252	87470	0	1427963	24
553	451	4	200	478	12	119	47600	3	10119492	234	87449	0	1426256	28
569	358	1	216	432	19	104	48227	5	10117097	231	88036	0	1428811	28
575	420	1	213	456	11	98	47730	2	10115030	227	87340	0	1426565	34
523	402	0	191	446	11	87	47909	4	10116235	263	87722	1	1429337	26
580	412	0	187	459	13	106	47901	0	10113085	242	87945	1	1429960	32
584	417	1	225	453	10	93	47852	5	10118215	234	87833	0	1427323	31
527	429	3	222	450	11	125	47635	2	10116815	204	87847	1	1428358	29
569	412	2	204	463	15	107	47143	1	10117854	222	87831	0	1429145	24
527	400	1	236	492	13	104	47874	0	10116759	226	87737	0	1426096	30
556	427	2	192	497	14	110	47311	4	10118250	233	87715	2	1425377	33
549	406	1	241	487	11	116	47866	5	10118674	223	88180	0	1427252	27
597	383	1	218	494	13	113	47578	1	10118365	222	87949	1	1425349	23
578	385	2	225	472	17	106	47579	3	10118394	208	88133	0	1427131	28
550	408	1	199	465	16	113	47644	6	10116510	238	87914	2	1427028	23
556	436	2	212	456	20	105	47864	0	10117318	223	88102	0	1428465	21
575	412	5	209	486	14	104	47646	5	10117084	223	87726	3	1425920	28
579	391	1	183	436	8	118	47726	2	10121769	214	87193	1	1426520	36
530	394	2	229	429	8	103	47544	0	10115775	232	87888	0	1428170	32
579	391	2	236	468	11	99	47948	2	10119234	229	87731	0	1428043	32
606	414	2	206	439	13	122	48109	2	10114044	247	87872	1	1428059	32
584	444	2	179	488	11	99	47515	3	10122713	243	88215	0	1428856	24
601	413	3	202	450	13	106	47927	4	10118304	216	88054	1	1425431	27
549	399	3	206	463	10	87	47682	6	10117459	216	87953	0	1427109	34
582	417	2	231	434	14	137	47884	3	10116153	219	88000	0	1429944	29
567	444	3	212	479	10	98	47771	4	10119208	221	87565	0	1426872	27
590	389	1	221	450	10	94	48207	3	10117154	220	87568	2	1428234	39
567	409	3	207	498	13	116	47542	6	10118533	227	87767	0	1430498	30
